Steve Madden - Hat|2019-09-09 10:41:13.860700|True,
Steve Madden - 30% off online purchase|2019-09-09 10:41:21.072700|True,
Steve Madden - Hat|2019-09-09 10:41:47.060700|True,
Steve Madden - Hat|2019-09-09 10:42:03.361700|True,
Revo - Frame|2019-09-09 10:43:23.037015|True,
Steve Madden - 30% off online purchase|2019-09-09 10:43:32.384906|True,
Steve Madden - Hat|2019-09-09 10:44:28.607017|True,
Spin Again|2019-09-09 10:44:40.860220|True,
Steve Madden - Hat|2019-09-09 10:44:57.344631|True,
Steve Madden - Hat|2019-09-09 10:46:07.154555|True,
Revo - Frame|2019-09-09 10:46:23.535130|True,
Steve Madden - Hat|2019-09-09 10:48:21.624575|True,
Steve Madden - Hat|2019-09-09 13:15:07.203392|True,
Steve Madden - 30% off online purchase|2019-09-09 13:15:34.772392|True,
Revo - Frame|2019-09-09 13:49:19.133392|True,
Steve Madden - 30% off online purchase|2019-09-09 14:03:20.194392|True,
Steve Madden - 30% off online purchase|2019-09-09 14:03:34.793392|True,
Revo - Frame|2019-09-09 14:06:37.463392|True,
Revo - Frame|2019-09-09 14:08:32.543583|True,
Steve Madden - Hat|2019-09-09 14:09:10.031079|True,
Steve Madden - Hat|2019-09-09 14:10:52.683606|True,
Spin Again|2019-09-09 14:12:34.653692|True,
Steve Madden - Hat|2019-09-09 14:13:05.859813|True,
Revo - Frame|2019-09-09 14:16:08.212046|True,
Steve Madden - 30% off online purchase|2019-09-09 14:16:34.495674|True,
Revo - Frame|2019-09-09 14:27:22.730385|True,
